iter	RMSE
0	0.9731196607
1	0.9487690265
2	0.9251903762
3	0.9037822841
4	0.8840194734
5	0.8661658689
6	0.8492579555
7	0.8333637677
8	0.8184771923
9	0.8045500157
10	0.7917687631
11	0.779812192
12	0.7688275575
13	0.7583529359
14	0.7495679386
15	0.7412763958
16	0.7335476282
17	0.7262619326
18	0.7191622032
19	0.7134161034
20	0.7073165078
21	0.701940538
22	0.6965731124
23	0.6920001022
24	0.6878421664
25	0.6839557614
26	0.6801404723
27	0.6763860447
28	0.6730468489
29	0.6699440478
30	0.6672226598
31	0.6648199282
32	0.662474981
33	0.6605500138
34	0.6581935306
35	0.6562480498
36	0.6545683336
37	0.6525968185
38	0.6508536347
39	0.6491772866
40	0.6478118202
41	0.6464587891
42	0.6453991941
43	0.6441468951
44	0.6429403514
45	0.6417946822
46	0.6409832144
47	0.6401282277
48	0.639170886
49	0.6383258054
50	0.6374669936
51	0.6365588925
52	0.6359581509
53	0.6353375605
54	0.6345223785
55	0.6338344684
56	0.6332890528
57	0.6326624233
58	0.6322179408
59	0.631788803
60	0.6311748309
61	0.630692361
62	0.6301500944
63	0.6296331324
64	0.6291778235
65	0.6287015868
66	0.6281700181
67	0.6278658315
68	0.6275108034
69	0.6270453558
70	0.6266938563
71	0.6262924769
72	0.6259061444
73	0.6255719524
74	0.6251994575
75	0.6250218665
76	0.6247096085
77	0.6244609817
78	0.6242101678
79	0.6239005462
80	0.623696454
81	0.623400039
82	0.6230757692
83	0.6225606529
84	0.6223647149
85	0.6219857862
86	0.6217788396
87	0.6215525211
88	0.6213079771
89	0.6211801465
90	0.621075013
91	0.6208173684
92	0.6205464259
93	0.620324775
94	0.6202320316
95	0.6200404667
96	0.6196749557
97	0.6194452707
98	0.6192016747
99	0.6188971893
100	0.6186927581
101	0.6184188483
102	0.6182593192
103	0.6179740906
104	0.6177505918
105	0.6175853357
106	0.617339835
107	0.6171704902
108	0.6169724806
109	0.6165578942
110	0.6163807825
111	0.6161755104
112	0.6160249809
113	0.6157629639
114	0.6156845853
115	0.61538061
116	0.6151938193
117	0.6150419553
118	0.6149305136
119	0.6147978268
120	0.6146202965
121	0.6144121973
122	0.614165963
123	0.6139828349
124	0.6137750616
125	0.6137593495
126	0.6135622264
127	0.6133441447
128	0.6131758613
129	0.6129622863
130	0.6128281751
131	0.6127267341
132	0.6126115241
133	0.6124239345
134	0.6122041576
135	0.611972422
136	0.6117425225
137	0.6115729454
138	0.6114243527
139	0.6112631773
140	0.6111176704
141	0.6109321375
142	0.6109180046
143	0.6106568514
144	0.6105503799
145	0.6103965153
146	0.6102347763
147	0.6100695349
148	0.6098673294
149	0.6095038481
150	0.6093600407
151	0.6090573224
152	0.6088349747
153	0.6087255474
154	0.6085944196
155	0.6084158679
156	0.6080936374
157	0.607953474
158	0.6077227095
159	0.6075384442
160	0.6073921036
161	0.6072702479
162	0.607267474
163	0.6071478094
164	0.6069881124
165	0.6068446347
166	0.6066647072
167	0.6065146269
168	0.6064489994
169	0.6063525336
170	0.6062074408
171	0.606079971
172	0.6060181226
173	0.6058246976
174	0.605627515
175	0.6053309937
176	0.6052158507
177	0.6050621007
178	0.6049387247
179	0.6047106019
180	0.6045253913
181	0.6044403653
182	0.6042586083
183	0.6041312835
184	0.603958614
185	0.6037609601
186	0.6036614443
187	0.6034989068
188	0.6033378027
189	0.6032224754
190	0.6031349196
191	0.6029048474
192	0.6028069535
193	0.6026185401
194	0.6024899372
195	0.6022983507
196	0.6021272339
197	0.6019628283
198	0.6017450071
199	0.6015675332
200	0.6013289753
201	0.6010913322
202	0.6010051096
203	0.6009098762
204	0.6007972087
205	0.6006593114
206	0.6004760002
207	0.600348253
208	0.6001079113
209	0.5998300513
210	0.5997342712
211	0.5995086598
212	0.5993671495
213	0.5992946073
214	0.5991180743
215	0.5990057454
216	0.5987251849
217	0.5986112824
218	0.5984544179
219	0.5983559591
220	0.5981634135
221	0.597893317
222	0.597625593
223	0.5975039925
224	0.5973544286
225	0.5971585076
226	0.5970514377
227	0.5968756177
228	0.5967357362
229	0.5965074056
