iter	Passed	Remaining
0	7	3728
1	13	3238
2	18	3061
3	24	3017
4	30	3023
5	36	2995
6	42	2990
7	84	5205
8	97	5345
9	118	5827
10	129	5770
11	134	5482
12	145	5469
13	156	5422
14	160	5180
15	165	4997
16	175	4995
17	181	4856
18	185	4699
19	188	4519
20	193	4403
21	198	4322
22	203	4229
23	208	4133
24	213	4062
25	217	3970
26	222	3894
27	227	3835
28	233	3791
29	238	3732
30	243	3684
31	249	3648
32	255	3618
33	265	3641
34	272	3614
35	277	3581
36	282	3540
37	288	3502
38	293	3468
39	298	3427
40	302	3381
41	307	3354
42	312	3317
43	316	3276
44	320	3242
45	325	3215
46	330	3180
47	334	3148
48	341	3147
49	354	3194
50	359	3164
51	363	3131
52	367	3098
53	373	3084
54	377	3057
55	381	3028
56	386	3007
57	391	2984
58	395	2959
59	400	2936
60	405	2920
61	410	2897
62	414	2874
63	419	2858
64	424	2839
65	429	2821
66	433	2803
67	438	2788
68	443	2768
69	447	2747
70	452	2732
71	456	2716
72	461	2697
73	465	2680
74	470	2666
75	474	2649
76	478	2630
77	483	2616
78	488	2601
79	492	2588
80	496	2570
81	501	2558
82	506	2546
83	510	2530
84	515	2517
85	520	2506
86	525	2493
87	530	2482
88	537	2482
89	543	2477
90	550	2473
91	555	2461
92	561	2459
93	567	2453
94	572	2441
95	578	2434
96	586	2438
97	591	2426
98	599	2428
99	604	2417
100	608	2403
101	614	2397
102	618	2385
103	623	2372
104	627	2361
105	632	2351
106	636	2338
107	641	2327
108	647	2321
109	651	2310
110	655	2298
111	660	2289
112	665	2280
113	669	2267
114	673	2256
115	679	2250
116	683	2238
117	688	2227
118	692	2218
119	698	2210
120	702	2199
121	707	2191
122	712	2185
123	716	2173
124	721	2164
125	723	2147
126	728	2139
127	732	2129
128	737	2119
129	742	2112
130	746	2103
131	750	2093
132	755	2084
133	760	2077
134	764	2067
135	769	2059
136	775	2053
137	780	2046
138	784	2036
139	789	2029
140	795	2026
141	800	2018
142	802	2002
143	808	1998
144	813	1991
145	817	1982
146	825	1983
147	830	1975
148	834	1966
149	841	1963
150	846	1955
151	850	1946
152	856	1942
153	861	1935
154	865	1927
155	871	1922
156	876	1915
157	880	1906
158	885	1900
159	890	1892
160	894	1884
161	898	1875
162	900	1862
163	906	1856
164	910	1847
165	914	1839
166	920	1835
167	924	1827
168	929	1819
169	934	1813
170	939	1806
171	943	1798
172	947	1791
173	953	1785
174	957	1777
175	962	1772
176	969	1768
177	973	1761
178	978	1754
179	983	1749
180	988	1742
181	993	1735
182	997	1728
183	1002	1722
184	1007	1714
185	1011	1706
186	1016	1702
187	1021	1695
188	1025	1687
189	1030	1681
190	1035	1674
191	1040	1669
192	1045	1662
193	1050	1657
194	1055	1651
195	1060	1644
196	1066	1640
197	1071	1634
198	1077	1629
199	1084	1626
200	1089	1619
201	1094	1614
202	1099	1608
203	1103	1601
204	1108	1594
205	1113	1589
206	1118	1582
207	1122	1575
208	1127	1569
209	1132	1563
210	1136	1556
211	1140	1549
212	1146	1544
213	1150	1538
214	1154	1530
215	1159	1524
216	1164	1519
217	1169	1512
218	1174	1506
219	1179	1500
220	1183	1493
221	1187	1486
222	1192	1481
223	1197	1475
224	1201	1468
225	1206	1462
226	1211	1457
